City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Russell,US,83.48,few clouds,32.3502,-85.1999,Macs
518,Pirenopolis,BR,82.89,overcast clouds,-15.8525,-48.9592,Hotel Pousada Mandala
519,Rock Sound,BS,82.18,overcast clouds,24.9,-76.2,Rock Sound Club
522,San Antonio Sacatepequez,GT,77.0,broken clouds,14.9667,-91.7333,Hotel 8 de mayo
524,Arlit,NE,85.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
525,Isla Mujeres,MX,87.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
527,Phuket,TH,85.08,few clouds,8.0,98.25,The Surin
530,Srivardhan,IN,78.55,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
532,Waingapu,ID,76.75,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
535,Taiping,MY,79.0,overcast clouds,4.85,100.7333,Flemington Hotel
539,Rolla,US,78.51,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
540,Palu,ID,76.71,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
542,Umm Lajj,SA,89.55,clear sky,25.0213,37.2685,Moon light Furnished Units
543,Harper,LR,77.54,broken clouds,4.375,-7.7169,Screensaver
545,Gat,IL,80.4,overcast clouds,31.61,34.7642,OlusHome
546,Carutapera,BR,80.42,clear sky,-1.195,-46.02,Lidera
550,Bacolod,PH,78.35,overcast clouds,10.6667,122.95,Planta Hotel & Residences
552,Valdosta,US,84.11,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
555,Cururupu,BR,78.55,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
569,Dosso,NE,88.9,scattered clouds,13.049,3.1937,Hotel Toubal
