City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Coquimbo,CL,2021-10-12 21:49:08,-29.9533,-71.3436,60.53,58,0,12.66,clear sky
53,Bonavista,CA,2021-10-12 21:51:40,48.6499,-53.1147,49.12,94,100,24.52,light rain
54,Atuona,PF,2021-10-12 21:51:41,-9.8,-139.0333,78.13,73,13,15.52,few clouds
55,Ruhengeri,RW,2021-10-12 21:41:59,-1.4998,29.635,57.02,86,63,1.05,broken clouds
56,Toora-Khem,RU,2021-10-12 21:51:41,52.4675,96.11,29.97,89,100,4.54,overcast clouds
57,Baleshwar,IN,2021-10-12 21:42:00,21.4942,86.9317,78.69,82,93,3.87,overcast clouds
58,Norman Wells,CA,2021-10-12 21:51:42,65.282,-126.8329,33.84,80,90,12.66,overcast clouds
59,Aksu,CN,2021-10-12 21:42:00,41.1231,80.2644,48.22,26,0,5.03,clear sky
60,Kenda,IN,2021-10-12 21:42:01,23.2,86.5333,75.96,77,65,6.31,broken clouds
61,Trabzon,TR,2021-10-12 21:42:01,40.9167,39.8333,57.29,82,0,5.75,clear sky
62,Quatre Cocos,MU,2021-10-12 21:42:02,-20.2078,57.7625,73.51,88,2,3.42,clear sky
63,Mar Del Plata,AR,2021-10-12 21:51:43,-38.0023,-57.5575,60.01,62,90,8.01,mist
64,Castro,BR,2021-10-12 21:48:16,-24.7911,-50.0119,61.45,81,43,3.85,scattered clouds
65,Ahuimanu,US,2021-10-12 21:42:03,21.4447,-157.8378,83.91,70,90,14.97,light rain
66,Vila Franca Do Campo,PT,2021-10-12 21:42:04,37.7167,-25.4333,70.21,88,40,2.75,scattered clouds
67,Jamestown,US,2021-10-12 21:51:43,42.097,-79.2353,74.79,68,90,6.91,overcast clouds
68,Concordia,AR,2021-10-12 21:42:04,-31.393,-58.0209,75.27,60,0,6.91,clear sky
69,Sampit,ID,2021-10-12 21:51:44,-2.5333,112.95,74.88,97,100,1.77,overcast clouds
70,Spoleto,IT,2021-10-12 21:42:05,42.7448,12.7374,54.66,82,35,4.0,scattered clouds
71,New Norfolk,AU,2021-10-12 21:51:44,-42.7826,147.0587,51.93,67,100,1.99,overcast clouds
72,Kjollefjord,NO,2021-10-12 21:42:05,70.9457,27.3465,42.58,81,75,12.66,light rain
73,Severo-Kurilsk,RU,2021-10-12 21:51:45,50.6789,156.125,46.2,80,22,14.5,few clouds
74,Kavaratti,IN,2021-10-12 21:51:45,10.5669,72.642,82.15,81,100,22.59,overcast clouds
75,Bethel,US,2021-10-12 21:42:06,41.3712,-73.414,70.39,77,24,3.2,few clouds
76,Hilo,US,2021-10-12 21:49:49,19.7297,-155.09,77.79,92,90,0.0,moderate rain
77,Nanortalik,GL,2021-10-12 21:51:46,60.1432,-45.2371,39.54,79,3,1.79,clear sky
78,Atar,MR,2021-10-12 21:42:07,20.5169,-13.0499,87.28,17,23,3.87,few clouds
79,Bambous Virieux,MU,2021-10-12 21:51:46,-20.3428,57.7575,73.65,88,40,3.44,scattered clouds
80,Santa Branca,BR,2021-10-12 21:42:07,-23.3967,-45.8839,68.36,72,40,11.5,thunderstorm
81,Lazaro Cardenas,MX,2021-10-12 21:42:08,17.9583,-102.2,84.74,74,25,10.33,scattered clouds
82,Hobart,AU,2021-10-12 21:51:47,-42.8794,147.3294,52.27,71,75,1.01,broken clouds
83,Yanam,IN,2021-10-12 21:51:47,16.7333,82.2167,76.14,95,100,1.95,overcast clouds
84,Verkhnyaya Toyma,RU,2021-10-12 21:42:08,62.2349,44.9985,41.27,89,100,5.59,overcast clouds
85,Prainha,BR,2021-10-12 21:42:09,-1.8,-53.48,87.89,41,12,4.9,few clouds
86,Longyearbyen,SJ,2021-10-12 21:51:48,78.2186,15.6401,28.24,86,75,4.61,light snow
